"display";"code";"request_result";"examination_result";"scale";"unit_measure";"method";"specimen"
Apolipoprotein B [Mass/volume] in Serum or Plasma;"1884-6";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Apolipoprotein B [Mass/volume] in Serum or Plasma;"1884-6";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum Kimia Rujukan Int.
Apolipoprotein B [Mass/volume] in Serum or Plasma;"1884-6";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
"5-Fluorocytosine [Susceptibility]";"18855-7";Hasil;OrdQn;OrdQn;;;Isolat
Amphotericin B [Susceptibility];"18863-1";Hasil;OrdQn;OrdQn;;;Isolat
Clarithromycin [Susceptibility] by Minimum inhibitory concentration (MIC);"189-1";Hasil;OrdQn;OrdQn;;MIC;Isolat
Fluconazole [Susceptibility];"18924-1";Hasil;OrdQn;OrdQn;;;Isolat
Ketoconazole [Susceptibility];"18937-3";Hasil;OrdQn;OrdQn;;;Isolat
Terbinafine [Susceptibility];"18992-8";Hasil;OrdQn;OrdQn;;;Isolat
Ascorbate [Mass/volume] in Serum or Plasma;"1903-4";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Clarithromycin [Susceptibility] by Disk diffusion (KB);"190-9";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Colony count [#/volume] in Urine;"19090-0";Permintaan & Hasil;Quantitative;Qn;/uL;;Urine
Colony count [#] in Urine by Visual count;"19091-8";Permintaan & Hasil;Quantitative;Qn;;VC;Urine
IgE [Units/volume] in Serum or Plasma;"19113-0";Permintaan & Hasil;Quantitative;Qn;[IU]/L;;Serum
Magnesium [Mass/volume] in Serum or Plasma;"19123-9";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Magnesium [Mass/volume] in Serum or Plasma;"19123-9";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bacteria identified in Bone marrow by Aerobe culture;"19126-2";Permintaan & Hasil;Nominal;Nom;;Aerobic culture;Sumsum tulang
Varicella zoster virus IgG Ab [Presence] in Serum;"19162-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma;"19176-7";Permintaan & Hasil;Quantitative;Qn;[IU]/mL;;Serum
Choriogonadotropin.beta subunit free [Units/volume] in Serum or Plasma;"19180-9";Permintaan & Hasil;Quantitative;Qn;[IU]/L;;Serum
Choriogonadotropin.beta subunit free [Units/volume] in Serum or Plasma;"19180-9";Permintaan & Hasil;Quantitative;Qn;[IU]/L;;Serum
Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma;"1920-8";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Deoxyhemoglobin/Hemoglobin.total in Arterial blood;"19225-2";Hasil ;Quantitative;Qn;%;;Darah arteri 
Bicarbonate [Moles/volume] standard in Arterial blood;"19230-2";Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Bicarbonate [Moles/volume] standard in Arterial blood;"19230-2";Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Bicarbonate [Moles/volume] standard in Venous blood;"19232-8";Hasil ;Quantitative;Qn;mmol/L;;Darah vena 
Base excess standard in Arterial blood by calculation;"19235-1";Hasil;Quantitative;Qn;mmol/L;Calculated;Darah arteri
Base excess standard in Arterial blood by calculation;"19235-1";Hasil;Quantitative;Qn;mmol/L;Calculated;Darah arteri
Base excess standard in Venous blood by calculation;"19237-7";Hasil ;Quantitative;Qn;mmol/L;Calculated;Darah vena 
Base excess in Arterial blood by calculation;"1925-7";Hasil;Quantitative;Qn;mmol/L;Calculated;Darah arteri
Base excess in Arterial blood by calculation;"1925-7";Hasil;Quantitative;Qn;mmol/L;Calculated;Darah arteri
Barbiturates [Presence] in Urine by Screen method;"19270-8";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Immunoglobulin light chains [Presence] in Urine;"1928-1";Permintaan & Hasil;Ordinal ;Ord;;;Urine
Cannabinoids [Presence] in Urine by Confirmatory method;"19289-8";Permintaan & Hasil;Ordinal;Ord;;Confirm;Urine
Cannabinoids [Presence] in Urine by Confirmatory method;"19289-8";Permintaan & Hasil;Ordinal;Ord;;Confirm;Urine
Opiates [Presence] in Urine by Screen method;"19295-5";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Clindamycin [Susceptibility] by Minimum inhibitory concentration (MIC);"193-3";Hasil;OrdQn;OrdQn;ug/mL;MIC;Isolat
Amphetamine [Presence] in Urine by Screen method;"19343-3";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Amphetamine [Presence] in Urine by Confirmatory method;"19344-1";Permintaan & Hasil;Ordinal;Ord;;Confirm;Urine
Cocaine [Presence] in Urine by Screen method;"19359-9";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Cocaine [Presence] in Urine by Confirmatory method;"19360-7";Permintaan & Hasil;Ordinal;Ord;;Confirm;Urine
Clindamycin [Susceptibility] by Disk diffusion (KB);"194-1";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Beta-2-Microglobulin [Mass/volume] in Serum or Plasma;"1952-1";Permintaan & Hasil;Quantitative;Qn;"mg/L;ug/mL";;Serum
Methamphetamine [Presence] in Urine by Screen method;"19554-5";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Methamphetamine [Presence] in Urine by Confirmatory method;"19555-2";Permintaan & Hasil;Ordinal;Ord;;Confirm;Urine
Methylenedioxymethamphetamine [Presence] in Urine by Confirmatory method;"19569-3";Permintaan & Hasil;Ordinal ;Ord;;Confirm;Serum/Plasma 
Methylenedioxymethamphetamine [Mass/volume] in Urine;"19570-1";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Urin
Morphine [Presence] in Urine by Screen method;"19597-4";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Bicarbonate [Moles/volume] in Arterial blood;"1960-4";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Bicarbonate [Moles/volume] in Arterial blood;"1960-4";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Phencyclidine [Presence] in Urine by Screen method;"19659-2";Permintaan & Hasil;Ordinal;Ord;;Screen;Urine
Bilirubin.direct [Mass/volume] in Serum or Plasma;"1968-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.direct [Mass/volume] in Serum or Plasma;"1968-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.indirect [Mass/volume] in Serum or Plasma;"1971-1";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.indirect [Mass/volume] in Serum or Plasma;"1971-1";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.total [Mass/volume] in Body fluid;"1974-5";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Cairan empedu
Bilirubin.total [Mass/volume] in Serum or Plasma;"1975-2";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.total [Mass/volume] in Serum or Plasma;"1975-2";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bilirubin.total [Mass/volume] in Serum or Plasma;"1975-2";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Microscopic observation [Identifier] in Cervical or vaginal smear or scraping by Cyto stain;"19765-7";Permintaan & Hasil;Nominal;Nom;;Cyto stain;Serviks/Vagina
Microscopic observation [Identifier] in Cervical or vaginal smear or scraping by Cyto stain Narrative;"19766-5";Permintaan & Hasil;Narrative;Nar;;Cyto stain;Serviks/Vagina
Bilirubin.total [Presence] in Urine;"1977-8";Permintaan & Hasil;Ordinal;Ord;;;Urine
Bilirubin.total [Mass/volume] in Urine;"1978-6";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
C peptide [Mass/volume] in Serum or Plasma;"1986-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
C peptide [Mass/volume] in Serum or Plasma;"1986-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
C peptide [Mass/volume] in Serum or Plasma;"1986-9";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
C reactive protein [Mass/volume] in Serum or Plasma;"1988-5";Permintaan & Hasil;Quantitative;Qn;mg/L;;Serum
Calcitonin [Mass/volume] in Serum or Plasma;"1992-7";Permintaan & Hasil;Quantitative;Qn;ng/L;;Serum
Calcium.ionized [Moles/volume] in Blood;"1994-3";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Serum
Carbon dioxide [Partial pressure] in Arterial blood;"2019-8";Permintaan & Hasil;Quantitative;Qn;mm[Hg];;Darah arteri
Carbon dioxide [Partial pressure] in Arterial blood;"2019-8";Permintaan & Hasil;Quantitative;Qn;mm[Hg];;Darah arteri
Carbon dioxide, total [Moles/volume] in Arterial blood;"2026-3";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Carbon dioxide, total [Moles/volume] in Arterial blood;"2026-3";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah arteri
Carbon dioxide, total [Moles/volume] in Serum or Plasma;"2028-9";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Serum
Carcinoembryonic Ag [Mass/volume] in Serum or Plasma;"2039-6";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
levoFLOXacin [Susceptibility] by Minimum inhibitory concentration (MIC);"20396-8";Hasil;OrdQn;OrdQn;;MIC;Isolat
Urobilinogen [Mass/volume] in Urine by Test strip;"20405-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;Test strip;Urine
Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma by Immunoassay (EIA) 3rd IS;"20415-6";Permintaan & Hasil;Quantitative;Qn;m[IU]/mL;EIA.3rd IS;Serum
Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma by Immunoassay (EIA) 3rd IS;"20415-6";Permintaan & Hasil;Quantitative;Qn;m[IU]/mL;EIA.3rd IS;Serum
Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma by Immunoassay (EIA) 3rd IS;"20415-6";Permintaan & Hasil;Quantitative;Qn;m[IU]/mL;EIA.3rd IS;Serum
Insulin [Units/volume] in Serum or Plasma;"20448-7";Permintaan & Hasil;Quantitative;Qn;u[IU]/mL;;Serum
Insulin [Units/volume] in Serum or Plasma;"20448-7";Permintaan & Hasil;Quantitative;Qn;u[IU]/mL;;Serum
Insulin [Units/volume] in Serum or Plasma;"20448-7";Permintaan & Hasil;Quantitative;Qn;u[IU]/mL;;Serum
Epithelial cells [Presence] in Urine sediment by Light microscopy;"20453-7";Hasil;Ordinal;Ord;;Microscopy.light;Urine
Protein [Presence] in Urine by Test strip;"20454-5";Hasil;Ordinal;Ord;;Test strip;Urine
Leukocytes [Presence] in Urine sediment by Light microscopy;"20455-2";Hasil;Ordinal;Ord;;Microscopy.light;Urine
Fungi.yeastlike [Presence] in Urine sediment by Light microscopy;"20456-0";Hasil;Ordinal;Ord;;Microscopy.light;Urine
Fungi.filamentous [Presence] in Urine sediment by Light microscopy;"20457-8";Hasil;Ordinal;Ord;;Microscopy.light;Urine
Bacteria identified in Tissue by Biopsy culture;"20474-3";Permintaan & Hasil;Nominal;Nom;;Biopsy culture;Biopsi
Measles virus IgG Ab [Presence] in Serum;"20479-2";Permintaan & Hasil;Ordinal;Ord;;;Serum
Clue cells [Presence] in Vaginal fluid by Wet preparation;"20502-1";Permintaan & Hasil;Ordinal;Ord;;Wet preparation;Cairan vagina
Reagin Ab [Presence] in Serum by RPR;"20507-0";Permintaan & Hasil;Ordinal;Ord;;RPR;Serum
Ferritin [Mass/volume] in Serum or Plasma by Immunoassay;"20567-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Ferritin [Mass/volume] in Serum or Plasma by Immunoassay;"20567-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Ferritin [Mass/volume] in Serum or Plasma by Immunoassay;"20567-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prolactin [Mass/volume] in Serum or Plasma by Immunoassay;"20568-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prolactin [Mass/volume] in Serum or Plasma by Immunoassay;"20568-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Prolactin [Mass/volume] in Serum or Plasma by Immunoassay;"20568-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;IA;Serum
Hematocrit [Volume Fraction] of Blood;"20570-8";Permintaan & Hasil;Quantitative;Qn;%;;Serum/Plasma
Hematocrit [Volume Fraction] of Blood;"20570-8";Permintaan & Hasil;Quantitative;Qn;%;;Darah
Hemoglobin A/Hemoglobin.total in Blood by Electrophoresis;"20572-4";Hasil;Quantitative;Qn;%;Electrophoresis;Darah
Chloride [Moles/volume] in Blood;"2069-3";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Serum
Chloride [Moles/volume] in Cerebral spinal fluid;"2070-1";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Cairan otak
Chloride [Moles/volume] in Urine;"2078-4";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Urine
Chloride [Moles/time] in 24 hour Urine;"2079-2";Permintaan & Hasil;Quantitative;Qn;mmol/(24.h);;Urine 24 Jam
Chloride [Moles/time] in 24 hour Urine;"2079-2";Permintaan & Hasil;Quantitative;Qn;mmol/(24.h);;Urine 24 Jam
Amoxicillin+Clavulanate [Susceptibility] by Minimum inhibitory concentration (MIC);"20-8";Hasil;OrdQn;OrdQn;;MIC;Isolat
Cholesterol in HDL [Mass/volume] in Serum or Plasma;"2085-9";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Cholesterol in HDL [Mass/volume] in Serum or Plasma;"2085-9";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Bacteria identified in Isolate by Anaerobe culture;"20878-5";Permintaan & Hasil;Nominal;Nom;;Anaerobic culture;Isolat
Cholesterol in LDL [Mass/volume] in Serum or Plasma;"2089-1";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Cholesterol in LDL [Mass/volume] in Serum or Plasma;"2089-1";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Cholesterol in VLDL [Mass/volume] in Serum or Plasma;"2091-7";Hasil;Quantitative;Qn;mg/dL;;Serum
Cholesterol [Mass/volume] in Serum or Plasma;"2093-3";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Cholesterol [Mass/volume] in Serum or Plasma;"2093-3";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Salmonella sp identified in Stool by Organism specific culture;"20955-1";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Feses
Staphylococcus sp identified in Specimen by Organism specific culture;"20966-8";Permintaan & Hasil;Nominal;Nom;;Organism specific culture;Cairan tubuh
Urea [Mass/volume] in Blood;"20977-5";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Urea [Mass/volume] in Blood;"20977-5";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Urea [Mass/volume] in Blood;"20977-5";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Cholinesterase [Enzymatic activity/volume] in Serum or Plasma;"2098-2";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Cholinesterase [Enzymatic activity/volume] in Serum or Plasma;"2098-2";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Erythrocyte distribution width [Entitic volume] by Automated count;"21000-5";Hasil;Quantitative;Qn;fL;Automated count;Darah
Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine;"2112-1";Permintaan & Hasil;Ordinal;Ord;;;Urine
Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine;"2112-1";Permintaan & Hasil;Ordinal;Ord;;;Urine
Choriogonadotropin.beta subunit (pregnancy test) [Presence] in Urine;"2112-1";Permintaan & Hasil;Ordinal;Ord;;;Urine
Cadmium [Mass/volume] in Serum or Plasma;"21129-2";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum/Plasma
Chlamydia sp IgM Ab [Presence] in Serum;"21186-2";Permintaan & Hasil;Ordinal;Ord;;;Serum
Choriogonadotropin.beta subunit [Units/volume] in Serum or Plasma;"21198-7";Permintaan & Hasil;Quantitative;Qn;"m[IU]/mL;[IU]/mL";;Serum
levoFLOXacin [Susceptibility] by Disk diffusion (KB);"21367-8";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Magnesium [Mass/volume] in Blood;"21377-7";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Darah
Mononuclear cells [#/volume] in Cerebral spinal fluid by Manual count;"21396-7";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Cairan otak
Mononuclear cells [#/volume] in Body fluid by Manual count;"21397-5";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Cairan tubuh
Mononuclear cells [#/volume] in Body fluid by Manual count;"21397-5";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Cairan empedu
Mononuclear cells [#/volume] in Synovial fluid by Manual count;"21398-3";Hasil;Quantitative;Qn;"10*3/uL";Manual count;Cairan sendi
Mycoplasma pneumoniae IgM Ab [Presence] in Serum;"21406-4";Permintaan & Hasil;Ordinal;Ord;;;Serum
Corticotropin [Mass/volume] in Plasma;"2141-0";Permintaan & Hasil;Quantitative;Qn;pg/mL;;Serum
Cortisol [Mass/volume] in Saliva (oral fluid);"2142-8";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Saliva
Cortisol [Mass/volume] in Serum or Plasma;"2143-6";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum
Cortisol [Mass/volume] in Urine;"2144-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Urine
Protein [Mass/volume] in 24 hour Urine;"21482-5";Permintaan & Hasil;Quantitative;Qn;g/dL;;Urine 24 jam
Rickettsia (Proteus OX19) Ab [Titer] in Serum by Latex agglutination;"21489-0";Permintaan & Hasil;Quantitative;Qn;{titer};LA;Serum
Rickettsia (Proteus OXK) Ab [Titer] in Serum by Latex agglutination;"21491-6";Permintaan & Hasil;Quantitative;Qn;{titer};LA;Serum
Measles virus IgM Ab [Presence] in Serum;"21503-8";Permintaan & Hasil;Ordinal;Ord;;;Serum
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma;"2157-6";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma;"2157-6";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Creatine kinase [Enzymatic activity/volume] in Serum or Plasma;"2157-6";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
Varicella zoster virus IgM Ab [Presence] in Serum;"21597-0";Permintaan & Hasil;Ordinal;Ord;;;Serum
Amoxicillin+Clavulanate [Susceptibility] by Disk diffusion (KB);"21-6";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Creatinine [Mass/volume] in Serum or Plasma;"2160-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Creatinine [Mass/volume] in Serum or Plasma;"2160-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Creatinine [Mass/volume] in Serum or Plasma;"2160-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Creatinine [Mass/volume] in Serum or Plasma;"2160-0";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Serum
Creatinine [Mass/volume] in Urine;"2161-8";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
Creatinine [Mass/volume] in Urine;"2161-8";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
Creatinine [Mass/volume] in Urine;"2161-8";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
Creatinine [Mass/volume] in Urine;"2161-8";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
Creatinine [Mass/volume] in Urine;"2161-8";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Urine
Creatinine [Mass/time] in 24 hour Urine;"2162-6";Permintaan & Hasil;Quantitative;Qn;g/(24.h);;Urine 24 jam
Creatinine [Mass/time] in 24 hour Urine;"2162-6";Permintaan & Hasil;Quantitative;Qn;g/(24.h);;Urine 24 jam
Creatinine renal clearance in 24 hour Urine and Serum or Plasma;"2164-2";Permintaan & Hasil;Quantitative;Qn;mL/min;;Serum
Cryofibrinogen [Mass/volume] in Blood;"2165-9";Permintaan & Hasil;Quantitative;Qn;;;Serum/Plasma
HRAS gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal;"21698-6";Permintaan & Hasil;Nominal;Nom;;Molgen;Jaringan
KRAS gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal;"21702-6";Permintaan & Hasil;Nominal;Nom;;Molgen;Jaringan
NRAS gene mutations found [Identifier] in Blood or Tissue by Molecular genetics method Nominal;"21719-0";Permintaan & Hasil;Nominal;Nom;;Molgen;Jaringan
Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma;"2191-5";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum
Dehydroepiandrosterone sulfate (DHEA-S) [Mass/volume] in Serum or Plasma;"2191-5";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Serum
Bicarbonate [Moles/volume] in Arterial blood;"22007";Permintaan & Hasil;Quantitative;Qn;mmol/L;;Darah arteri 
Cytomegalovirus Ab [Presence] in Serum or Plasma;"22239-8";Permintaan & Hasil;Ordinal;Ord;;;Serum
Cytomegalovirus IgG Ab [Presence] in Serum or Plasma;"22244-8";Permintaan & Hasil;Ordinal;Ord;;;Serum
Entamoeba histolytica Ab [Presence] in Serum;"22285-1";Permintaan & Hasil;Ordinal;Ord;;;Serum
Entamoeba histolytica Ab [Titer] in Serum;"22286-9";Permintaan & Hasil;Quantitative;Qn;{titer};;Serum
Epstein Barr virus early IgG Ab [Presence] in Serum;"22295-0";Permintaan & Hasil;Ordinal;Ord;;;Serum
Helicobacter pylori Ab [Presence] in Serum;"22310-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Hepatitis A virus Ab [Units/volume] in Serum;"22312-3";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis A virus IgG Ab [Units/volume] in Serum;"22313-1";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis A virus IgM Ab [Presence] in Serum;"22314-9";Permintaan & Hasil;Ordinal;Ord;;;Serum
Hepatitis A virus IgM Ab [Units/volume] in Serum;"22315-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis B virus core Ab [Units/volume] in Serum;"22316-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis B virus core IgM Ab [Units/volume] in Serum;"22319-8";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis B virus e Ab [Presence] in Serum;"22320-6";Permintaan & Hasil;Ordinal;Ord;;;Serum
Hepatitis B virus e Ab [Units/volume] in Serum;"22321-4";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Hepatitis C virus Ab [Units/volume] in Serum;"22327-1";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
HTLV I+II Ab [Presence] in Serum;"22362-8";Permintaan & Hasil;Ordinal;Ord;;;Serum
HTLV I+II Ab [Units/volume] in Serum;"22363-6";Permintaan & Hasil;Quantitative;Qn;[arb'U]/mL;;Serum
Mumps virus IgG Ab [Presence] in Serum;"22415-4";Permintaan & Hasil;Ordinal;Ord;;;Serum
Mumps virus IgM Ab [Presence] in Serum;"22418-8";Permintaan & Hasil;Ordinal;Ord;;;Serum
Mycoplasma sp Ab [Presence] in Serum;"22428-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Estradiol (E2) [Mass/volume] in Serum or Plasma;"2243-4";Permintaan & Hasil;Quantitative;Qn;pg/mL;;Serum
Rickettsia (Proteus OX19) Ab [Presence] in Serum;"22468-3";Permintaan & Hasil;Ordinal;Ord;;;Serum
Rickettsia (Proteus OX19) Ab [Titer] in Serum;"22469-1";Permintaan & Hasil;Quantitative;Qn;{titer};;Serum
Rickettsia (Proteus OXK) Ab [Presence] in Serum;"22472-5";Permintaan & Hasil;Ordinal;Ord;;;Serum
Rickettsia (Proteus OXK) Ab [Titer] in Serum;"22473-3";Permintaan & Hasil;Quantitative;Qn;{titer};;Serum
Estriol (E3) [Mass/volume] in Serum or Plasma;"2251-7";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Salmonella paratyphi A H Ab [Presence] in Serum;"22517-7";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella paratyphi A O Ab [Presence] in Serum;"22519-3";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella paratyphi B H Ab [Presence] in Serum;"22521-9";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella paratyphi B O Ab [Presence] in Serum;"22523-5";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella paratyphi C H Ab [Presence] in Serum;"22524-3";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella paratyphi C O Ab [Presence] in Serum;"22525-0";Permintaan & Hasil;Ordinal;Ord;;;Serum
Salmonella typhi H Ab [Presence] in Serum;"22529-2";Permintaan & Hasil;Ordinal;Ord;;;Serum
Doxycycline [Susceptibility] by Minimum inhibitory concentration (MIC);"225-3";Hasil;OrdQn;OrdQn;;MIC;Isolat
Estrogen [Mass/volume] in Serum or Plasma;"2254-1";Permintaan & Hasil;Quantitative;Qn;pg/mL;;Serum
Streptolysin O Ab [Titer] in Serum;"22568-0";Permintaan & Hasil;Quantitative;Qn;{titer};;Serum
Doxycycline [Susceptibility] by Disk diffusion (KB);"226-1";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Fat [Presence] in Stool;"2270-7";Permintaan & Hasil;Ordinal;Ord;;;Feses
Ammonia [Mass/volume] in Plasma;"22763-7";Permintaan & Hasil;Quantitative;Qn;ug/dL;;Darah
Ferritin [Mass/volume] in Serum or Plasma;"2276-4";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Folate [Mass/volume] in Blood;"2282-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Folate [Mass/volume] in Blood;"2282-2";Permintaan & Hasil;Quantitative;Qn;ng/mL;;Serum
Enoxacin [Susceptibility] by Minimum inhibitory concentration (MIC);"229-5";Hasil;OrdQn;OrdQn;;MIC;Isolat
Fructose [Mass/volume] in Semen;"2295-4";Permintaan & Hasil;Quantitative;Qn;mg/dL;;Sperma
Enoxacin [Susceptibility] by Disk diffusion (KB);"230-3";Hasil;OrdQn;OrdQn;;Agar diffusion;Isolat
Leptospira sp IgG Ab [Presence] in Serum;"23200-9";Permintaan & Hasil;Ordinal;Ord;;;Serum 
Leptospira sp IgM Ab [Presence] in Serum by Immunoassay;"23201-7";Permintaan & Hasil;Ordinal;Ord;;IA;Serum
Leptospira sp IgM Ab [Presence] in Serum;"23202-5";Permintaan & Hasil;Ordinal;Ord;;;Serum
Gamma glutamyl transferase [Enzymatic activity/volume] in Serum or Plasma;"2324-2";Permintaan & Hasil;Quantitative;Qn;U/L;;Serum
