No,Permintaan/Hasil,Tipe hasil pemeriksaan,LOINC Code,Nama Pemeriksaan,Answer List ,Code,Code System ,Keterangan 
595,Permintaan & Hasil,Ordinal,17859-0,IgG Anti Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
596,Hasil,Ordinal,60524-6,IgG Anti Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Equivocal,LA11885-3,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
597,Permintaan & Hasil,Quantitative,5176-3,IgG Anti Helicobacter pylori,,,,
598,Permintaan & Hasil,Quantitative,7902-0,IgG Anti Helicobacter pylori,,,,
599,Permintaan & Hasil,Quantitative,5176-3,IgG Anti Helicobacter pylori,,,,
600,Permintaan & Hasil,Quantitative,7902-0,IgG Anti Helicobacter pylori,,,,
601,Permintaan & Hasil,Quantitative,5176-3,IgG Anti Helicobacter pylori,,,,
602,Permintaan & Hasil,Quantitative,5176-3,IgG Anti Helicobacter pylori,,,,
603,Permintaan & Hasil,Quantitative,5176-3,IgG Anti Helicobacter pylori,,,,
604,Permintaan & Hasil,Quantitative,7902-0,IgG Anti Helicobacter pylori,,,,
605,Permintaan & Hasil,Ordinal,16127-3,IgM Anti Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
606,Permintaan & Hasil,Ordinal,46987-4,IgM Anti Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
607,Permintaan & Hasil,Quantitative,7903-8,IgM Anti Helicobacter pylori,,,,
608,Permintaan & Hasil,Quantitative,7903-8,IgM Anti Helicobacter pylori,,,,
609,Permintaan & Hasil,Quantitative,5177-1,IgM Anti Helicobacter pylori,,,,
610,Permintaan & Hasil,Ordinal,22310-7,Anti Helicobacter pylori total,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
611,Permintaan & Hasil,Ordinal,31843-6,Antigen Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
612,Permintaan & Hasil,Ordinal,31843-6,Antigen Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
613,Permintaan & Hasil,Ordinal,80373-4,Antigen Helicobacter pylori,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
614,Permintaan & Hasil,Ordinal,17780-8,Antigen Helicobacter pylori,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
615,Permintaan & Hasil,Ordinal,43848-1,IgG Anti Chlamydia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
616,Permintaan & Hasil,Ordinal,45135-1,IgG Anti Chlamydia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
617,Permintaan & Hasil,Quantitative,5089-8,IgG Anti Chlamydia,,,,
618,Permintaan & Hasil,Quantitative,26715-3,IgG Anti Chlamydia,,,,
619,Permintaan & Hasil,Quantitative,26715-3,IgG Anti Chlamydia,,,,
620,Permintaan & Hasil,Ordinal,21186-2,IgM Anti Chlamydia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
621,Permintaan & Hasil,Quantitative,5086-4,IgM Anti Chlamydia,,,,
622,Permintaan & Hasil,Quantitative,5086-4,IgM Anti Chlamydia,,,,
623,Permintaan & Hasil,Quantitative,5086-4,IgM Anti Chlamydia,,,,
624,Permintaan & Hasil,Ordinal,87949-4,Chlamydia trachomatis (PCR),Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
625,Permintaan & Hasil,Ordinal,45086-6,Chlamydia trachomatis (PCR),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
626,Permintaan & Hasil,Ordinal,88221-7,Chlamydia trachomatis (PCR),Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
627,Permintaan & Hasil,Ordinal,92133-8,Chlamydia trachomatis (PCR),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
628,Permintaan & Hasil,Ordinal,29610-3,HBV DNA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Detected,LA11882-0,http://loinc.org,
,,,,,Not detected,LA11883-8,http://loinc.org,
629,Permintaan & Hasil,Quantitative,32686-8,HBV DNA kuantitatif,,,,
630,Permintaan & Hasil,Quantitative,11258-1,HBV DNA kuantitatif,,,,
631,Permintaan & Hasil,Quantitative,42595-9,HBV DNA kuantitatif,,,,
632,Permintaan & Hasil,Quantitative,45161-7,HBV DNA kuantitatif,,,,
633,Permintaan & Hasil,Nominal,32366-7,HBV DNA Genotyping,A,LA13487-6,http://loinc.org,
,,,,,B,LA14518-7,http://loinc.org,
,,,,,C,LA14519-5,http://loinc.org,
,,,,,D,LA14520-3,http://loinc.org,
,,,,,E,LA13503-0,http://loinc.org,
,,,,,F,LA13504-8,http://loinc.org,
,,,,,G,LA19150-4,http://loinc.org,
,,,,,H,LA19174-4,http://loinc.org,
634,Permintaan & Hasil,Ordinal,91064-6,Dengue NS1 Ag,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
635,Permintaan & Hasil,Ordinal,75377-2,Dengue NS1 Ag,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Invalid,LA15841-2,http://loinc.org,
636,Permintaan & Hasil,Ordinal,75377-2,Dengue NS1 Ag (Rapid),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
637,Permintaan,Ordinal,87546-8,Anti Dengue IgG & IgM,,,,
638,Permintaan & Hasil,Ordinal,29676-4,IgG Anti Dengue,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
639,Permintaan & Hasil,Ordinal,29661-6,IgG Anti Dengue,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
640,Permintaan & Hasil,Ordinal,100964-6,IgG Anti Dengue (Rapid),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Indeterminate,LA11884-6,http://loinc.org,
641,Permintaan & Hasil,Quantitative,23958-2,IgG Anti Dengue,,,,
642,Permintaan & Hasil,Quantitative,23991-3,IgG Anti Dengue,,,,
643,Permintaan & Hasil,Quantitative,23991-3,IgG Anti Dengue,,,,
644,Permintaan & Hasil,Quantitative,23991-3,IgG Anti Dengue,,,,
645,Permintaan & Hasil,Quantitative,23958-2,IgG Anti Dengue (Rapid),,,,
646,Permintaan & Hasil,Ordinal,25338-5,IgM Anti Dengue,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
647,Permintaan & Hasil,Ordinal,29663-2,IgM Anti Dengue,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
648,Permintaan & Hasil,Ordinal,25338-5,IgM Anti Dengue (Rapid),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
649,Permintaan & Hasil,Quantitative,23968-1,IgM Anti Dengue,,,,
650,Permintaan & Hasil,Quantitative,23992-1,IgM Anti Dengue,,,,
651,Permintaan & Hasil,Quantitative,23992-1,IgM Anti Dengue,,,,
652,Permintaan & Hasil,Quantitative,23992-1,IgM Anti Dengue,,,,
653,Permintaan & Hasil,Quantitative,23968-1,IgM Anti Dengue (Rapid),,,,
654,Permintaan & Hasil,Ordinal,95706-8,IgA Anti Dengue (Rapid),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
655,Permintaan & Hasil,Ordinal,7918-6,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
656,Permintaan & Hasil,Ordinal,31201-7,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
657,Permintaan & Hasil,Ordinal,31201-7,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
658,Permintaan & Hasil,Ordinal,31201-7,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
659,Permintaan & Hasil,Ordinal,80387-4,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
660,Permintaan & Hasil,Ordinal,80387-4,Anti HIV,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
661,Permintaan & Hasil,Nominal,95524-5,Anti HIV (Konfirmasi),HIV Negative,LA24959-1,http://loinc.org,
,,,,,HIV-1 Indeterminate,LA24952-6,http://loinc.org,
,,,,,HIV-1 Positive,LA24955-9,http://loinc.org,
,,,,,HIV-2 Positive,LA24956-7,http://loinc.org,
,,,,,HIV-1 Positive with HIV-2 cross-reactivity,LA31133-4,http://loinc.org,
,,,,,HIV-2 Positive with HIV-1 cross-reactivity,LA24957-5,http://loinc.org,
662,Permintaan & Hasil,Nominal,69668-2,Anti HIV (Konfirmasi),Nonreactive,LA15256-3,http://loinc.org,
,,,,,HIV-1 reactive,LA18330-3,http://loinc.org,
,,,,,HIV-2 reactive,LA18331-1,http://loinc.org,
,,,,,HIV Reactive (Undifferentiated),LA18332-9,http://loinc.org,
,,,,,Invalid,LA15841-2,http://loinc.org,
663,Permintaan,Ordinal,X099138,HIV Western Blot,,,,
664,Hasil,Ordinal,44873-8,HIV Western Blot,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
665,Permintaan & Hasil,Ordinal,20507-0,RPR,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
666,Permintaan & Hasil,Ordinal,93870-4,Anti-NMDAR,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
667,Permintaan & Hasil,Ordinal,84928-1,Anti-NMDAR,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
668,Permintaan,,71775-1,IGRA,,,,
669,Permintaan & Hasil,Ordinal,71773-6,IGRA,Negative,LA6577-6,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
,,,,,Indeterminate,LA11884-6,http://loinc.org,
670,Permintaan & Hasil,Ordinal,71773-6,IGRA,Negative,LA6577-6,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
,,,,,Indeterminate,LA11884-6,http://loinc.org,
671,Permintaan & Hasil,Ordinal,55224-0,Anti M. tuberculosis (ICT),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
672,Permintaan & Hasil,Ordinal,55224-0,Anti M. tuberculosis (ICT),Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
673,Permintaan & Hasil,Quantitative,54146-6,IgG Anti M. tuberculosis,,,,
674,Permintaan & Hasil,Ordinal,X099139,Antigen M. tuberculosis,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
675,Permintaan & Hasil,Ordinal,22428-7,Anti Mycoplasma,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
676,Permintaan & Hasil,Quantitative,31517-6,Anti Mycoplasma,,,,
677,Permintaan & Hasil,Ordinal,X099140,IgG Anti Mycoplasma,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
678,Permintaan & Hasil,Quantitative,X099141,IgG Anti Mycoplasma,,,,
679,Permintaan & Hasil,Ordinal,X099142,IgM Anti Mycoplasma,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
680,Permintaan & Hasil,Quantitative,X099143,IgM Anti Mycoplasma,,,,
681,Permintaan & Hasil,Ordinal,46198-8,IgG Anti Mycoplasma pneumonia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
682,Permintaan & Hasil,Ordinal,45224-3,IgG Anti Mycoplasma pneumonia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
683,Permintaan & Hasil,Quantitative,7970-7,IgG Anti Mycoplasma pneumonia,,,,
684,Permintaan & Hasil,Quantitative,5255-5,IgG Anti Mycoplasma pneumonia,,,,
685,Permintaan & Hasil,Ordinal,21406-4,IgM Anti Mycoplasma pneumonia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
686,Permintaan & Hasil,Ordinal,5257-1,IgM Anti Mycoplasma pneumonia,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
687,Permintaan & Hasil,Quantitative,8078-8,IgM Anti Mycoplasma pneumonia,,,,
688,Permintaan & Hasil,Quantitative,5256-3,IgM Anti Mycoplasma pneumonia,,,,
689,Permintaan & Hasil,Quantitative,26881-3,Interleukin 6 (IL-6),,,,
690,Permintaan & Hasil,Quantitative,26881-3,Interleukin 6 (IL-6),,,,
691,Permintaan & Hasil,Quantitative,9674-3,IgM Anti Salmonella Typhi,,,,
692,Permintaan & Hasil,Ordinal,17566-1,IgM Anti Salmonella Typhi (TUBEX),Positive,LA6576-8,http://loinc.org,"Semikuantitatif +2 +4 +6 +8 +10, dikatakan negatif (0-2) inkonklusif (2-4) positif ( 4-10)"
,,,,,Negative,LA6577-6,http://loinc.org,
693,Permintaan & Hasil,Quantitative,9673-5,IgG Anti Salmonella Typhi,,,,
694,Permintaan & Hasil,Quantitative,9673-5,IgG Anti Salmonella Typhi,,,,
695,Permintaan & Hasil,Ordinal,17566-1,Salmonella typhi O,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
696,Permintaan & Hasil,Ordinal,5346-2,Salmonella typhi O,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
697,Permintaan & Hasil,Ordinal,22529-2,Salmonella typhi H,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
698,Permintaan & Hasil,Ordinal,5345-4,Salmonella typhi H,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
699,Permintaan & Hasil,Ordinal,22519-3,Salmonella paratyphi AO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
700,Permintaan & Hasil,Ordinal,5340-5,Salmonella paratyphi AO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
701,Permintaan & Hasil,Ordinal,22517-7,Salmonella paratyphi AH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
702,Permintaan & Hasil,Ordinal,5339-7,Salmonella paratyphi AH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
703,Permintaan & Hasil,Ordinal,22523-5,Salmonella paratyphi BO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
704,Permintaan & Hasil,Ordinal,5342-1,Salmonella paratyphi BO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
705,Permintaan & Hasil,Ordinal,22521-9,Salmonella paratyphi BH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
706,Permintaan & Hasil,Ordinal,5341-3,Salmonella paratyphi BH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
707,Permintaan & Hasil,Ordinal,22525-0,Salmonella paratyphi CO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
708,Permintaan & Hasil,Ordinal,5344-7,Salmonella paratyphi CO,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
709,Permintaan & Hasil,Ordinal,22524-3,Salmonella paratyphi CH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
710,Permintaan & Hasil,Ordinal,5343-9,Salmonella paratyphi CH,Positive,LA6576-8,http://loinc.org,"Titer : 1:80, 1: 160, 1:320"
,,,,,Negative,LA6577-6,http://loinc.org,
711,Permintaan & Hasil,Nominal,53956-9,Antigen Salmonella typhi,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
712,Permintaan & Hasil,Ordinal,X099144,Antigen Salmonella paratyphi,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
713,Permintaan & Hasil,Ordinal,22472-5,Anti OXK,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
714,Permintaan & Hasil,Ordinal,5305-8,Anti OXK,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
715,Permintaan & Hasil,Quantitative,22473-3,Anti OXK,,,,
716,Permintaan & Hasil,Quantitative,21491-6,Anti OXK,,,,
717,Permintaan & Hasil,Quantitative,31594-5,Anti OXK,,,,
718,Permintaan & Hasil,Ordinal,22468-3,Anti OX 19,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
719,Permintaan & Hasil,Ordinal,5303-3,Anti OX 19,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
720,Permintaan & Hasil,Quantitative,22469-1,Anti OX 19,,,,
721,Permintaan & Hasil,Quantitative,21489-0,Anti OX 19,,,,
722,Permintaan & Hasil,Quantitative,31593-7,Anti OX 19,,,,
723,Permintaan,,55162-2,HTLV - I/II,,,,
724,Permintaan & Hasil,Ordinal,22362-8,HTLV - I/II,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
725,Permintaan & Hasil,Ordinal,29901-6,HTLV - I/II,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
726,Permintaan & Hasil,Quantitative,22363-6,HTLV - I/II,,,,
727,Permintaan & Hasil,Quantitative,5226-6,HTLV - I/II,,,,
728 ,Permintaan & Hasil,Ordinal,23202-5,IgM Anti Leptospira,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
729,Permintaan & Hasil,Ordinal,23201-7,IgM Anti Leptospira,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
730,Permintaan & Hasil,Quantitative,31487-2,IgM Anti Leptospira,,,,
731,Permintaan & Hasil,Quantitative,31487-2,IgM Anti Leptospira,,,,
732,Permintaan & Hasil,Quantitative,51819-1,IgM Anti Leptospira,,,,
733,Permintaan & Hasil,Ordinal,93979-3,IgG Anti Chikungunya,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
734,Permintaan & Hasil,Ordinal,88630-9,IgG Anti Chikungunya,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
735,Permintaan & Hasil,Ordinal,93979-3,IgG Anti Chikungunya,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
736,Permintaan & Hasil,Quantitative,97866-8,IgG Anti Chikungunya,,,,
737,Permintaan & Hasil,Ordinal,57934-2,IgM Anti Chikungunya,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
738 ,Permintaan & Hasil,Ordinal,88629-1,IgM Anti Chikungunya,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
739,Permintaan & Hasil,Quantitative,97867-6,IgM Anti Chikungunya,,,,
740,Permintaan & Hasil,Quantitative,97867-6,IgM Anti Chikungunya,,,,
741,Permintaan & Hasil,Ordinal,30340-4,IgM Anti EBV VCA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
742,Permintaan & Hasil,Ordinal,24115-8,IgM Anti EBV VCA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
743,Permintaan & Hasil,Quantitative,7886-5,IgM Anti EBV VCA,,,,
744,Permintaan & Hasil,Quantitative,5159-9,IgM Anti EBV VCA,,,,
745,Permintaan & Hasil,Ordinal,30339-6,IgG Anti EBV VCA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
746,Permintaan & Hasil,Ordinal,24114-1,IgG Anti EBV VCA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
747,Permintaan & Hasil,Quantitative,7885-7,IgG Anti EBV VCA,,,,
748,Permintaan & Hasil,Quantitative,5157-3,IgG Anti EBV VCA,,,,
749,Permintaan & Hasil,Quantitative,31369-2,IgA Anti EBV VCA,,,,
750,Permintaan & Hasil,Quantitative,31369-2,IgA Anti EBV VCA,,,,
751,Permintaan & Hasil,Ordinal,22295-0,IgG Anti EBV EA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
752,Permintaan & Hasil,Ordinal,40752-8,IgG Anti EBV EA,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
753,Permintaan & Hasil,Quantitative,24007-7,IgG Anti EBV EA,,,,
754,Permintaan & Hasil,Quantitative,56598-6,IgM Anti EBV EA,,,,
755,Permintaan & Hasil,Quantitative,94102-1,IgA Anti EBV EA,,,,
756,Permintaan & Hasil,Quantitative,X099145,IgA Anti EBV EBNA,,,,
757,Permintaan & Hasil,Ordinal,31418-7,Mononucleosis Test,Negative,LA6577-6,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
758,Permintaan & Hasil,Ordinal,69420-8,Mononucleosis Test,Negative,LA6577-6,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
759,Permintaan & Hasil,Ordinal,5213-4,Mononucleosis Test,Negative,LA6577-6,http://loinc.org,
,,,,,Positive,LA6576-8,http://loinc.org,
760,Permintaan & Hasil,Quantitative,11610-3,Mononucleosis Test,,,,
761,Permintaan & Hasil,Quantitative,7880-8,Seramoeba,,,,
762,Permintaan & Hasil,Quantitative,5150-8,Seramoeba,,,,
763,Permintaan & Hasil,Quantitative,5150-8,Seramoeba,,,,
764,Permintaan & Hasil,Quantitative,22286-9,Seramoeba/IDT Titer,,,,
765,Permintaan & Hasil,Ordinal,26655-1,Anti Entamoeba sp.,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
766,Permintaan & Hasil,Ordinal,22285-1,Anti Entamoeba histolytica,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
767,Permintaan & Hasil,Ordinal,90297-3,Anti Entamoeba histolytica,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
768,Permintaan & Hasil,Ordinal,16817-9,Anti Entamoeba histolytica,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
769,Permintaan & Hasil,Ordinal,56921-0,Anti Entamoeba histolytica,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
770,Permintaan & Hasil,Ordinal,17547-1,Antigen Rotavirus,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
771,Permintaan & Hasil,Ordinal,5880-0,Antigen Rotavirus,Positive,LA11882-0,http://loinc.org,
,,,,,Negative,LA11883-8,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
772,Permintaan & Hasil,Ordinal,72174-6,Antigen Rotavirus,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15841-2,http://loinc.org,
,,,,,Nonreactive,,,
773,Permintaan & Hasil,Ordinal,20479-2,IgG Anti Measles,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15841-2,http://loinc.org,
,,,,,Nonreactive,,,
774,Permintaan & Hasil,Ordinal,35275-7,IgG Anti Measles,Positive,LA6576-8,http://loinc.org,
,,,,,Negative,LA6577-6,http://loinc.org,
,,,,,Reactive,LA15255-5,http://loinc.org,
,,,,,Nonreactive,LA15256-3,http://loinc.org,
775,Permintaan & Hasil,Quantitative,7962-4,IgG Anti Measles,,,,
776,Permintaan & Hasil,Quantitative,5244-9,IgG Anti Measles,,,,
